Molecule ChEMBL ID,Smiles,Standard Type,Standard Value,Standard Units,pChEMBL Value
CHEMBL1358028,CC(C)c1nc2ccc(C(=O)NC(C)c3ccccc3)cc2o1,Potency,50118.7,nM,4.3
CHEMBL1496187,CCC[n+]1c2ccccc2cc2ccccc21.[I-],Potency,10000.0,nM,5.0
CHEMBL3212948,C/C(=N\NC(=O)Cc1ccc(F)cc1)c1ccc(F)cc1,Potency,19952.6,nM,4.7
CHEMBL1388705,CC1CCC(NCCNC(=O)c2ccco2)CC1,Potency,631.0,nM,6.2
CHEMBL1601029,COc1ccc(/C=C/C(=O)NC(=S)N2C[C@H]3C[C@H](C2)c2cccc(=O)n2C3)cc1,Potency,2511.9,nM,5.6
CHEMBL1506655,COC(=O)c1ccc(COC(=O)c2ccc(-n3cnnn3)cc2)o1,Potency,28183.8,nM,4.55
CHEMBL1303910,COc1ccc2nc(-c3cccc(F)c3)cc(O)c2c1,Potency,631.0,nM,6.2
CHEMBL1451177,COc1cc(OC)cc(N(C(=O)c2ccco2)C(C(=O)NC2CCCC2)c2ccc(N(C)C)cc2)c1,Potency,631.0,nM,6.2
CHEMBL1397180,COC(=O)c1ccc(CNC(=O)c2ccc3c(c2)S(=O)(=O)N=C2CCCCCN23)cc1,Potency,79432.8,nM,4.1
CHEMBL1571481,CC(C)(C)NC(=O)C(=O)NNC(=O)C12CC3CC(CC(C3)C1)C2,Potency,79432.8,nM,4.1
CHEMBL1344828,O=C(CN(Cc1ccccc1Cl)C(=O)c1csnn1)NC1CCCCC1,Potency,1584.9,nM,5.8
CHEMBL1561104,CN1CCN(c2nc(O)c3c(n2)CCC3)CC1,Potency,562.3,nM,6.25
CHEMBL1504930,CCCC1Cc2c(sc3ncnc(N)c23)CO1,Potency,1258.9,nM,5.9
CHEMBL1387135,COc1ccc(C(=O)C2=C(O)C(=O)N(CCCN3CCOCC3)C2c2ccc(N(C)C)cc2)cc1,Potency,11220.2,nM,4.95
CHEMBL1611707,Cc1cc(NC(=O)COc2ccc(F)c(Cl)c2)no1,Potency,25118.9,nM,4.6
CHEMBL1534313,Cc1cccc(NC(=O)COC(=O)c2cccc3c2C(=O)c2ccccc2C3=O)c1C,Potency,100000.0,nM,4.0
CHEMBL1455656,CCOc1ccc(NC(=O)C2CCCN(S(=O)(=O)c3c(C)n[nH]c3C)C2)cc1,Potency,15848.9,nM,4.8
CHEMBL1593334,CC(=O)Nc1c(C)nn(-c2ccccc2)c1N1CCC(C(=O)Nc2cccc(C(F)(F)F)c2)CC1,Potency,446.7,nM,6.35
CHEMBL1474134,Cl.NC(=O)c1ccc(OCCC(O)N2CC=C(c3ccc(F)cc3)CC2)cc1,Potency,5011.9,nM,5.3
CHEMBL1476156,CN(CC(=O)Nc1ccc(Cl)c(C(F)(F)F)c1)C(=O)C1(c2ccccc2)CC1,Potency,100000.0,nM,4.0
CHEMBL1568265,Nc1nnc(SCc2cc3c(cc2Cl)OCO3)s1,Potency,316.2,nM,6.5
CHEMBL1387072,COc1ccc2nc3sc(C(=O)NCc4cccs4)c(N)c3cc2c1,Potency,4466.8,nM,5.35
CHEMBL1541721,O=C(c1cccc(-c2nnc(-c3ccccc3)o2)c1)N1CCCCC1,Potency,50118.7,nM,4.3
CHEMBL1520467,CC1C(=O)N2CCCc3cc(NS(=O)(=O)c4ccccc4)cc1c32,Potency,100000.0,nM,4.0
CHEMBL1385466,CCCCOP(=O)(c1ccc(N(C)C)cc1)C(O)c1ccccc1F,Potency,5011.9,nM,5.3
CHEMBL1542528,COc1ccc(NC(=S)N2CCCC2)cc1OC,Potency,631.0,nM,6.2
CHEMBL1598640,CCc1ccc(NC2=CC(=O)CC(c3ccco3)C2)cc1,Potency,100000.0,nM,4.0
CHEMBL1375999,Cc1nc(C)n(C(C)CC(=O)O)n1,Potency,44668.4,nM,4.35
CHEMBL1395467,CC(=O)NCCC(=O)Nc1cc(S(=O)(=O)N2CCOCC2)ccc1Oc1ccc(F)cc1,Potency,1000.0,nM,6.0
CHEMBL1363458,CCCSc1nc2sc3c(c2c(=O)n1Cc1ccccc1)CC(C)(CC)OC3,Potency,631.0,nM,6.2
CHEMBL1503352,CCOC(=O)c1[nH]c2ccc(OC)cc2c1NS(=O)(=O)c1ccc(OC)cc1OC,Potency,562.3,nM,6.25
CHEMBL1542510,COc1ccc(OC)c(C2CC(=O)N3CN(c4ccc(C)c(Cl)c4)CSC3=C2C#N)c1,Potency,56234.1,nM,4.25
CHEMBL1386394,Cc1ccn(C(=O)c2ccc(NC(=O)C3CCCCC3)cc2)n1,Potency,112201.8,nM,3.95
CHEMBL1567883,Cc1ccc(S(=O)(=O)N(CCc2ccccc2)CC(=O)Nc2cc(C)ccc2C)cc1,Potency,63095.7,nM,4.2
CHEMBL1324169,Cc1ccc(-n2c(SCC3CNC(=O)O3)nnc2-c2ccccc2)cc1C,Potency,1000.0,nM,6.0
CHEMBL1365517,COCCn1nnnc1C(c1cc2cc(OC)ccc2nc1O)N1CCC(Cc2ccccc2)CC1,Potency,100000.0,nM,4.0
CHEMBL1377176,CSc1ncc(Cl)c(C(=O)C(C#N)c2nc(O)c3cc(C)cc(C)c3n2)n1,Potency,3548.1,nM,5.45
CHEMBL1544172,COC(=O)c1cc(C(=O)OC)cc(S(=O)(=O)Nc2ccc(Cl)c(N)c2)c1,Potency,89125.1,nM,4.05
CHEMBL1599971,CN(c1ccc(Cl)cc1)c1cc(=O)n(C)c2ccccc12,Potency,794.3,nM,6.1
CHEMBL1434897,COc1cccc(-c2nnc(SCc3cc(=O)c4ccc(C)c(C)c4[nH]3)[nH]2)c1,Potency,631.0,nM,6.2
CHEMBL1551054,COc1cccc(CNC(=O)C2CCN(c3nnc(N4CCCC4=O)s3)CC2)c1,Potency,79432.8,nM,4.1
CHEMBL1552972,Cc1cccc(-c2nc(N3CCN(c4ccc(F)cc4)CC3)c3ccccc3n2)c1,Potency,2511.9,nM,5.6
CHEMBL1508428,COCC(=O)Nc1cc(OC)cc(OC)c1,Potency,19952.6,nM,4.7
CHEMBL201325,c1ccc2sc(-c3ccc4c(c3)OCO4)nc2c1,Potency,631.0,nM,6.2
CHEMBL1383149,Cc1ccc(-n2cc(C(=O)c3ccccc3O)cn2)cc1,Potency,89125.1,nM,4.05
CHEMBL1456182,N#Cc1ccc(CSc2ccc(S(=O)(=O)N3CCCCCC3)cn2)cc1,Potency,2818.4,nM,5.55
CHEMBL1534676,COCCNC(=O)c1nn(-c2ccc(Cl)cc2)nc1CO,Potency,44668.4,nM,4.35
CHEMBL1544803,O=C(Nc1ccccc1)N1CCN(c2ccc(C(F)(F)F)cn2)CC1,Potency,89125.1,nM,4.05
CHEMBL1989853,O=C1/C(=N\c2cccc(O)c2)C(N2CCCCC2)=C(O)c2ccccc21,Potency,891.3,nM,6.05
CHEMBL1505755,O=C(CN1CCN(S(=O)(=O)c2ccc(Cl)s2)CC1)NCc1ccc(Cl)cc1,Potency,28183.8,nM,4.55
CHEMBL1527685,O=C(Cc1cccs1)Nc1cccc(C(=O)Nc2ccco2)c1,Potency,50118.7,nM,4.3
CHEMBL1591884,COc1cccc(NC(=O)CN(C)C(=O)C2=COCCO2)c1,Potency,12589.3,nM,4.9
CHEMBL1346588,CCOC(=O)N1CCC(NC(=O)c2cc(C)c3c(C)nn(-c4ccccc4)c3n2)CC1,Potency,35481.3,nM,4.45
CHEMBL1567997,O=C(O)c1cccnc1SC1CC(=O)N(Cc2ccccc2)C1=O,Potency,100000.0,nM,4.0
CHEMBL1346468,Cc1conc1NC(c1cccs1)c1ccc2cccnc2c1O,Potency,3981.1,nM,5.4
CHEMBL1521634,Cc1cc(OCC(=O)NC(Cc2ccc(Cl)cc2)C(=O)O)c2c(C)cc(=O)oc2c1,Potency,11220.2,nM,4.95
CHEMBL1515333,CCOC(=O)C1=C(COC(=O)C23CC4CC(CC(C4)C2)C3)NC(=O)NC1C,Potency,316.2,nM,6.5
CHEMBL1599890,CCOC(=O)CCc1cccc2c1CCC2=O,Potency,5011.9,nM,5.3
CHEMBL1579647,O=C(Cn1nc(Cc2cccnc2)c2ccccc2c1=O)NCCCN1CCCC1=O,Potency,631.0,nM,6.2
CHEMBL1480523,Cn1c(Cc2ccccc2)nnc1SCC(=O)NC1CC1,Potency,3981.1,nM,5.4
CHEMBL1395201,COc1ccccc1CNC(=O)COc1ccccc1C(=O)c1cnn(-c2ccccc2)c1,Potency,3162.3,nM,5.5
CHEMBL80031,O=C(NCCO)c1ccc2c(c1)S(=O)(=O)c1ccccc1C2=O,Potency,707.9,nM,6.15
CHEMBL1334786,COc1ccc(CNC(=O)COC(=O)c2ccc(OCC3CCCO3)cc2)cc1,Potency,44668.4,nM,4.35
CHEMBL1303964,COc1ccc(N(CC(=O)NC2CCCC2)S(=O)(=O)c2c(C)nc(O)nc2O)cc1,Potency,28183.8,nM,4.55
CHEMBL1531999,CCCCNCC1C(Oc2ccc(Cl)cc2)C(=O)N1c1ccccc1C.Cl,Potency,22387.2,nM,4.65
CHEMBL1402184,COc1ccc(-c2noc(CSCC(=O)Nc3ccc(C)cc3Br)n2)cc1OC,Potency,50118.7,nM,4.3
CHEMBL1513101,O=C1Nc2ccc(S(=O)(=O)Nc3ccccc3O)c3cccc1c23,Potency,100000.0,nM,4.0
CHEMBL1334729,CCOc1ccc(NC(=O)N2CCC(N3CCCCC3)CC2)cc1,Potency,1000.0,nM,6.0
CHEMBL1423482,CC(C)(CC(=O)O)Cc1nc(-c2ccc(Cl)cc2)no1,Potency,501.2,nM,6.3
CHEMBL1558968,Cc1ccc2sc(N(CCCN(C)C)C(=O)c3ccc(Br)s3)nc2c1C.Cl,Potency,1995.3,nM,5.7
CHEMBL1374792,COc1ccccc1/C=C/C(=O)OCC(=O)N1CCc2ccccc21,Potency,3162.3,nM,5.5
CHEMBL1406598,Cc1ccccc1COn1nnc2ccc(S(=O)(=O)N3CCOCC3)cc21,Potency,11220.2,nM,4.95
CHEMBL1310481,COC(=O)c1cc(/C=C/c2ccccc2)on1,Potency,63095.7,nM,4.2
CHEMBL1310493,O=C(CCNS(=O)(=O)c1cccs1)NCc1ccco1,Potency,2818.4,nM,5.55
CHEMBL1354330,COc1ccc(NC(=O)c2cc(S(=O)(=O)N3CCc4ccccc43)cn2C)cc1,Potency,631.0,nM,6.2
CHEMBL1433331,CCCS(=O)(=O)N1CCN(Cc2ccc3c(c2)c2ccccc2n3CC)CC1.O=C(O)C(=O)O,Potency,100000.0,nM,4.0
CHEMBL1459721,O=C(COC(=O)c1ccc(Cl)c(S(=O)(=O)N2CCN(c3ccc(F)cc3)CC2)c1)Nc1cccc(Cl)c1,Potency,100000.0,nM,4.0
CHEMBL1320244,COc1ccc(S(=O)(=O)N2CCCCC2)cc1NC(=O)Cc1sc(C)nc1-c1ccc(F)cc1,Potency,89125.1,nM,4.05
CHEMBL1396770,CCOc1ccc(-c2csc(-c3c(N)c(C(=O)c4ccc5c(c4)OCO5)n4ccccc34)n2)cc1,Potency,2511.9,nM,5.6
CHEMBL1556876,CC(=O)NS(=O)(=O)c1ccc(NC(=O)/C=C/c2ccccc2Cl)cc1,Potency,89125.1,nM,4.05
CHEMBL1360278,CCc1nn(CCCC(=O)NCc2ccc(OC(C)C)cc2)c(=O)c2cc3occc3n12,Potency,1584.9,nM,5.8
CHEMBL1450340,Cc1cccc(NC(=O)CNC(=O)c2ccco2)n1,Potency,631.0,nM,6.2
CHEMBL1487285,Cc1cc(C)n(-c2ccc(C(=O)OCC(=O)Nc3ccc(S(=O)(=O)N4CCOCC4)cc3)cc2)n1,Potency,39810.7,nM,4.4
CHEMBL1487286,COc1ccc(C)cc1S(=O)(=O)Nc1cccc(SC)c1,Potency,707.9,nM,6.15
CHEMBL1399024,CCOC(=O)c1oc2ccc(S(=O)(=O)n3nc(-c4ccccc4OC)cc3N)cc2c1C,Potency,5623.4,nM,5.25
CHEMBL1555857,O=C(NCCCn1ccnc1)c1cn(-c2ccccc2)nc1-c1ccc(F)cc1,Potency,631.0,nM,6.2
CHEMBL1318206,CCc1nc(N)c(C#N)c(-c2ccco2)c1C,Potency,70794.6,nM,4.15
CHEMBL1339730,CCS(=O)(=O)Nc1cccc(C2=NN(S(=O)(=O)c3ccc(F)cc3)C(c3cccs3)C2)c1,Potency,35481.3,nM,4.45
CHEMBL1398965,CC1(C)Cc2c(C#N)c(OCC(=O)c3ccc(Cl)cc3)nc(-c3ccco3)c2CO1,Potency,17782.8,nM,4.75
CHEMBL1526894,Cc1cccc(CN2C(=O)c3ccccc3S(=O)(=O)c3ccc(C(=O)N4CCCC4)cc32)c1,Potency,89125.1,nM,4.05
CHEMBL3212080,COc1cccc(NC(=O)C(=O)N/N=C/c2ccc3c(c2)OCO3)c1,Potency,631.0,nM,6.2
CHEMBL3212358,O=C(N/N=C/c1cccnc1)c1cc(-c2ccccc2Cl)nc2ccccc12,Potency,5011.9,nM,5.3
CHEMBL445184,Cc1cccc(NC(=O)c2cc3ccccc3oc2=O)c1,Potency,112201.8,nM,3.95
CHEMBL1438287,Cc1csc(SCCn2c(N3CCOCC3)nc3c2c(=O)[nH]c(=O)n3C)n1,Potency,3548.1,nM,5.45
CHEMBL1536802,CCCCCNCc1ccc(OCc2ccc(Cl)nc2)c(OC)c1,Potency,100000.0,nM,4.0
CHEMBL1527146,CC1CC(N(C(=O)c2ccccc2Cl)c2ccccc2)c2ccccc2N1,Potency,7943.3,nM,5.1
CHEMBL1399112,C=CCn1cc(C(C)=O)c(=O)[nH]c1=O,Potency,631.0,nM,6.2
CHEMBL1527110,Cc1ccc(NC(=O)Nc2sc3nc4n(c(=O)c3c2C)CCC(C)CC4)c(Cl)c1,Potency,794.3,nM,6.1
CHEMBL1477498,COc1cccc(C(=O)NC(C)CCc2ccccc2)c1,Potency,891.3,nM,6.05
CHEMBL3213193,CCn1c(C)nc2cc(C(=O)N/N=C(\C)c3ccc(N4CCOCC4)cc3)ccc21,Potency,1122.0,nM,5.95
CHEMBL1575626,O=C(Nc1ccc2c(c1)CCC2)c1ccc(Br)o1,Potency,22387.2,nM,4.65
CHEMBL1438383,CN(C)C(=O)c1cc(C(=O)c2ccccc2C(F)(F)F)c[nH]1,Potency,1122.0,nM,5.95
CHEMBL1359253,COc1cc(C2c3c(oc4ccccc4c3=O)C(=O)N2CCN2CCOCC2)cc(OC)c1OC,Potency,1584.9,nM,5.8
CHEMBL1595150,CCOC(=O)C(C(=O)NCCCN1CCOCC1)C1CCCCC1,Potency,100000.0,nM,4.0
CHEMBL1319832,CC1=C(C(=O)Nc2ccccc2)C(c2ccccn2)n2nc(CCCO)nc2N1,Potency,3981.1,nM,5.4
CHEMBL1458914,Cc1ccc(C)n1-c1c(C(=O)NN)cnn1-c1ccccc1,Potency,2238.7,nM,5.65
CHEMBL1340615,CN(C)N1C(N)=C(C#N)C(c2ccsc2)C2=C1CC(C)(C)CC2=O,Potency,17782.8,nM,4.75
CHEMBL299613,COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,Potency,50118.7,nM,4.3
CHEMBL1576359,COC(=O)c1cc(Cl)c(NC(=O)/C=C/c2ccc(OC)cc2)cc1OC,Potency,7943.3,nM,5.1
CHEMBL1488536,CCCCCn1c(=O)c(C(=O)Nc2cc(C)ccn2)c(O)c2ccccc21,Potency,50118.7,nM,4.3
CHEMBL1354975,CCCNC(=O)C1CCN(S(=O)(=O)c2ccc3c(c2)OCCO3)CC1,Potency,4466.8,nM,5.35
CHEMBL1517287,CC(C)C(NC(=O)CN1C(=O)c2ccccc2S1(=O)=O)C(C)C,Potency,100000.0,nM,4.0
CHEMBL1498362,O=S(=O)(/C=C/c1ccccc1)NCc1ccccc1Cl,Potency,100000.0,nM,4.0
CHEMBL1410264,O=c1nc(N(c2ccccc2)c2ccccc2)[nH]c(=O)[nH]1,Potency,631.0,nM,6.2
CHEMBL1449210,CC(NC(=O)[C@H](C)N1C(=O)N2CCc3c([nH]c4ccccc34)[C@@]2(C)C1=O)c1ccccc1,Potency,8912.5,nM,5.05
CHEMBL1420113,Cc1ccc(NC2=NC(=O)/C(=C/c3cccs3)S2)cc1C,Potency,79432.8,nM,4.1
CHEMBL1447444,O=C(CSc1nnc(-c2cccnc2)n1Cc1ccco1)c1ccc(Br)cc1,Potency,5011.9,nM,5.3
CHEMBL1488720,CCC(=O)NCCn1c(C)cc2ccccc21,Potency,7943.3,nM,5.1
CHEMBL1410247,COc1ccc(-c2c(C)nn3c(N4CCN(c5ccccc5F)CC4)cc(C)nc23)cc1OC,Potency,3981.1,nM,5.4
CHEMBL1458974,Cc1c(C(=O)Nc2c(F)cc(F)cc2Br)sc2ncn(CC(=O)N3CCCC3)c(=O)c12,Potency,562.3,nM,6.25
CHEMBL1434043,CCN(C(=O)c1cc(S(=O)(=O)N2CCc3ccccc32)cn1C)c1cccc(C)c1,Potency,100000.0,nM,4.0
CHEMBL1566933,CSc1nnc2n(-c3cccc(C)c3)c(=O)c3c4c(sc3n12)CCCC4,Potency,125892.5,nM,3.9
CHEMBL1340636,COC(=O)c1ccc(C2C(C(=O)c3ccc4c(c3)OCCO4)=C(O)C(=O)N2CCCN(C)C)cc1,Potency,2511.9,nM,5.6
CHEMBL1517910,O=C(COc1ccccc1-c1ccccc1)c1ccccc1,Potency,100000.0,nM,4.0
CHEMBL1400330,COc1ccc(OC)c(NC(=O)c2csnn2)c1,Potency,112201.8,nM,3.95
CHEMBL1990959,COc1cccc(/C=N/NC(=O)c2ccc(-c3ccccc3)cc2)c1O,Potency,631.0,nM,6.2
CHEMBL1577222,Cl.Oc1cccc(CN2CCCCC2)c1,Potency,1000.0,nM,6.0
CHEMBL1478595,O=C(Cn1cc(S(=O)(=O)Cc2ccccc2)c2ccccc21)Nc1ccccc1,Potency,8912.5,nM,5.05
CHEMBL1605611,CCCNC(=O)N1CCC2(CC1)OCCO2,Potency,28183.8,nM,4.55
CHEMBL1434063,CCc1cccc(NC(=O)C(NS(=O)(=O)c2ccc3nc(C)sc3c2)C(C)C)c1,Potency,5011.9,nM,5.3
CHEMBL1514529,COc1ccccc1CNC(=O)CCCn1c(=O)c2cccn2c2ccccc21,Potency,4466.8,nM,5.35
CHEMBL1449311,CS(=O)(=O)N1N=C(c2ccccc2)CC1c1ccc2nccnc2c1,Potency,100000.0,nM,4.0
CHEMBL1498379,O=C(O)C1C2C=CC(C2)C1C(=O)NCCCc1ccccc1,Potency,7943.3,nM,5.1
CHEMBL1356809,CSc1ncc2c(n1)-c1ccccc1N(Cc1ccccc1)S2(=O)=O,Potency,14125.4,nM,4.85
CHEMBL1420114,Cc1ccc(C2=NN=C(NC(=O)CSc3nnc4c5ccccc5n(C)c4n3)SC2)cc1,Potency,631.0,nM,6.2
CHEMBL1340634,Cc1ccc(CN(C)C(=O)CCc2nc(O)c3c4c(sc3n2)CCCC4)o1,Potency,2511.9,nM,5.6
CHEMBL1370564,Cc1ccc2c(Cl)cc(Cl)c(OCC(=O)NC(=O)NCc3ccco3)c2n1,Potency,22387.2,nM,4.65
CHEMBL1458958,Cc1nc(SCC(=O)N2CCCCC2)c2c(C)c(C)sc2n1,Potency,5011.9,nM,5.3
CHEMBL1595132,O=C(c1cccc(OC2CCN(Cc3ccc(F)cc3)CC2)c1)N1CCCC1,Potency,31622.8,nM,4.5
CHEMBL1517274,CCOc1cc(C(=O)Nc2c(C)ccc3nsnc23)cc(OCC)c1OCC,Potency,707.9,nM,6.15
CHEMBL1314856,COc1cc(C2CC(=O)Nc3cc4c(cc32)OCCO4)cc(Br)c1OC,Potency,12589.3,nM,4.9
CHEMBL1300654,Cc1nc2cc(F)ccc2n1C1CCN(S(=O)(=O)c2ccccc2)CC1,Potency,1258.9,nM,5.9
CHEMBL1340684,COc1cnn(C2CCCCC2)c(=O)c1O,Potency,1000.0,nM,6.0
CHEMBL1410284,CCN(CCCNC(=O)C1CCCN(S(=O)(=O)c2c[nH]cn2)C1)c1ccccc1,Potency,22387.2,nM,4.65
CHEMBL1341417,Cc1cccc(CCNC(=O)CCc2nc(-c3ccccc3F)no2)c1,Potency,5011.9,nM,5.3
CHEMBL1341418,CCCCCCN1CCN(c2ccc(Cl)cc2)CC1,Potency,3162.3,nM,5.5
CHEMBL1595728,O=C(CSc1nnc(-c2cccnc2)n1CCc1ccccc1)NCc1ccccc1,Potency,100000.0,nM,4.0
CHEMBL1577180,CCc1noc(C)c1C(=O)NC1CCCc2c1cnn2-c1ccc(C(C)(C)C)cc1,Potency,4466.8,nM,5.35
CHEMBL1301366,O=C(NNc1cccc(Cl)n1)Nc1cccc(Cl)c1,Potency,39810.7,nM,4.4
CHEMBL1301369,O=C(CCN1C(=O)c2ccccc2C1=O)N1CCOCC1,Potency,50118.7,nM,4.3
CHEMBL1320480,CCN(CC)C(=O)CN1CCC(c2nc3cc(C)c(C)cc3[nH]2)CC1,Potency,89125.1,nM,4.05
CHEMBL1499168,CC(=O)c1cccc(N(CC(=O)N2CCCC2)S(C)(=O)=O)c1,Potency,39810.7,nM,4.4
CHEMBL1577167,COc1ccc(NC(=O)NCCCN2CCc3ccccc3C2)cc1,Potency,2511.9,nM,5.6
CHEMBL1499149,CCOC(=O)c1ccc(NC(=O)NC2CC3CCC(C2)N3Cc2nnnn2C(C)(C)C)cc1,Potency,5623.4,nM,5.25
CHEMBL1538361,O=C(Nc1nccs1)C1CC2CCC1C2,Potency,22387.2,nM,4.65
CHEMBL1409042,COc1ccc(CCNC(=O)CN2C(=O)c3ccccc3S2(=O)=O)cc1,Potency,44668.4,nM,4.35
CHEMBL1565891,O=C(O)C(=O)O.O=C(c1ccc(F)cc1)N1CCN(C2CC3CCC2C3)CC1,Potency,707.9,nM,6.15
CHEMBL3211012,Fc1ccc(COc2ccc(/C=N/n3cnnc3)cc2)cc1,Potency,7943.3,nM,5.1
CHEMBL1477399,O=C(CSc1nnc(Cc2cccs2)n1Cc1ccco1)Nc1ccc(Cl)cc1Cl,Potency,50118.7,nM,4.3
CHEMBL1497616,Cc1ccc(C)n1-c1ccc(N2CCOCC2)c(Br)c1,Potency,3162.3,nM,5.5
CHEMBL1408069,Cc1ccc(NS(=O)(=O)c2ccc3c(c2)NC(=O)CCS3)cc1F,Potency,8912.5,nM,5.05
CHEMBL1433906,O=C(CSc1nc(=O)n2ccccc2n1)NCc1ccccc1Cl,Potency,112201.8,nM,3.95
CHEMBL1329977,COc1ccc(-c2nnc(SC(C)C(=O)Nc3nccs3)n2Cc2ccccc2)cc1OC,Potency,2818.4,nM,5.55
CHEMBL1516745,Cc1csc2nc(O)c(C(=O)NCCN3CCOCC3)c(=O)n12,Potency,3162.3,nM,5.5
CHEMBL1339787,CCN(CC)S(=O)(=O)c1cccc(NC(=O)COc2ccc(Cl)cc2Br)c1,Potency,3981.1,nM,5.4
CHEMBL1354745,COc1cccc(C(=O)NCc2cn3ccccc3n2)c1,Potency,2818.4,nM,5.55
CHEMBL1448460,C[C@H](C(=O)CC(=O)OC(C)(C)C)[C@H](O)c1ccc(C(F)(F)F)cc1,Potency,631.0,nM,6.2
CHEMBL1448471,COc1cc(CNC2CCCCC2OC)cc(OC)c1.O=C(O)C(=O)O,Potency,31622.8,nM,4.5
CHEMBL1319091,Nc1ncnc2c1ncn2C1CCC(CO)C(O)C1,Potency,44668.4,nM,4.35
CHEMBL1300489,CCC(C(=O)NC1CCCC1)N(C(=O)Cn1nnc(-c2ccc(C)o2)n1)c1cccc(OC)c1,Potency,50118.7,nM,4.3
CHEMBL1370465,Cc1ccc(S(=O)(=O)N(C)c2ccc(C(=O)N(CC(C)C)C3CCS(=O)(=O)C3)cc2)cc1,Potency,89125.1,nM,4.05
CHEMBL1410208,CCc1cccc(NC(=O)Cn2nc(CC)n3c(cc4cc(C)ccc43)c2=O)c1,Potency,112201.8,nM,3.95
CHEMBL1447581,COc1ccc(NC(=O)c2cccc(NC(=O)c3ccccc3)c2)c(OC)c1,Potency,354.8,nM,6.45
CHEMBL1359829,COc1cccc(C2=NN=C(NCc3ccccc3)SC2)c1,Potency,22387.2,nM,4.65
CHEMBL1527798,Clc1ccc(-c2nc3ccc(Cl)cn3c2CN2CCOCC2)cc1,Potency,8912.5,nM,5.05
CHEMBL1537481,COc1ccc(-c2c(C#N)c(N)nc3c2CCc2ccccc2-3)cc1OC,Potency,28183.8,nM,4.55
CHEMBL1576331,CCC(=O)Nc1nnc(-c2ccco2)o1,Potency,35481.3,nM,4.45
CHEMBL1576333,O=C(NC(=S)N1CCN(c2nc(-c3ccccc3)cs2)CC1)c1cccnc1,Potency,89125.1,nM,4.05
CHEMBL1399591,CC(C)Cn1nc(NC(=O)c2cccs2)c2cc3ccccc3nc21,Potency,2818.4,nM,5.55
CHEMBL1380486,COc1cc(N)c(C(=O)c2nccc3cc(OC)c(OC)cc23)cc1OC,Potency,44668.4,nM,4.35
CHEMBL1590301,Cc1ccccc1-c1nnc(CN2CCN(c3cc(Cl)ccc3C)CC2)o1,Potency,25118.9,nM,4.6
CHEMBL1370571,CN(C)c1ccc(CN(Cc2ccco2)C(=O)c2ccc(C(C)(C)C)cc2)cc1,Potency,79432.8,nM,4.1
CHEMBL1576387,O=C(C[n+]1cccc(CNC(=O)c2ccc(OC(F)F)cc2)c1)c1ccccc1.[Cl-],Potency,707.9,nM,6.15
CHEMBL1498344,CC(C)(C)N1CC(OC(N)=O)C1,Potency,100000.0,nM,4.0
CHEMBL1319840,COc1cccc2cc(-c3cc(=O)oc4cc(C)c(OCC(C)=O)cc34)oc12,Potency,631.0,nM,6.2
